,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_relationship,incident_state,incident_city,incident_location,witnesses,total_claim_amount,auto_make,auto_model,auto_year,month_sin,month_cos,severe
0,328.0,48.0,OH,250/500,1000.0,1406.91,0.0,466132,MALE,MD,craft-repair,husband,SC,Columbus,9935 4th Drive,2.0,71610.0,Saab,92x,2004.0,-0.8660254037844386,0.5000000000000001,1
1,228.0,42.0,IN,250/500,2000.0,1197.22,5000000.0,468176,MALE,MD,machine-op-inspct,other-relative,VA,Riverwood,6608 MLK Hwy,0.0,5070.0,Mercedes,E400,2007.0,1.2246467991473532e-16,-1.0,0
2,134.0,29.0,OH,100/300,2000.0,1413.14,5000000.0,430632,FEMALE,PhD,sales,own-child,NY,Columbus,7121 Francis Lane,3.0,34650.0,Dodge,RAM,2007.0,-1.0,-1.8369701987210297e-16,0
3,256.0,41.0,IL,250/500,2000.0,1415.74,6000000.0,608117,FEMALE,PhD,armed-forces,unmarried,OH,Arlington,6956 Maple Drive,2.0,63400.0,Chevrolet,Tahoe,2014.0,0.49999999999999994,-0.8660254037844387,0
4,228.0,44.0,IL,500/1000,1000.0,1583.91,6000000.0,610706,MALE,Associate,sales,unmarried,NY,Arlington,3041 3rd Ave,1.0,6500.0,Accura,RSX,2009.0,1.2246467991473532e-16,-1.0,0
5,256.0,39.0,OH,250/500,1000.0,1351.1,0.0,478456,FEMALE,PhD,tech-support,unmarried,SC,Arlington,8973 Washington St,2.0,64100.0,Saab,95,2003.0,-0.8660254037844386,0.5000000000000001,0
6,137.0,34.0,IN,250/500,1000.0,1333.35,0.0,441716,MALE,PhD,prof-specialty,husband,NY,Springfield,5846 Weaver Drive,0.0,78650.0,Nissan,Pathfinder,2012.0,1.2246467991473532e-16,-1.0,1
7,165.0,37.0,IL,100/300,1000.0,1137.03,0.0,603195,MALE,Associate,tech-support,unmarried,VA,Columbus,3525 3rd Hwy,2.0,51590.0,Audi,A5,2015.0,0.8660254037844386,0.5000000000000001,0
8,27.0,33.0,IL,100/300,500.0,1442.99,0.0,601734,FEMALE,PhD,other-service,own-child,WV,Arlington,4872 Rock Ridge,1.0,27700.0,Toyota,Camry,2012.0,0.8660254037844386,0.5000000000000001,0
9,212.0,42.0,IL,100/300,500.0,1315.68,0.0,600983,MALE,PhD,priv-house-serv,wife,NC,Hillsdale,3066 Francis Ave,1.0,42300.0,Saab,92x,1996.0,-0.4999999999999997,-0.8660254037844388,0
10,235.0,42.0,OH,100/300,500.0,1253.12,4000000.0,462283,FEMALE,Masters,exec-managerial,other-relative,NY,Northbend,1558 1st Ridge,2.0,87010.0,Ford,F150,2002.0,0.49999999999999994,-0.8660254037844387,1
11,447.0,61.0,OH,100/300,2000.0,1137.16,0.0,615561,FEMALE,High School,exec-managerial,other-relative,SC,Springfield,5971 5th Hwy,2.0,114920.0,Audi,A3,2006.0,0.49999999999999994,-0.8660254037844387,1
12,60.0,23.0,OH,500/1000,500.0,1215.36,3000000.0,432220,MALE,MD,protective-serv,wife,SC,Northbend,6655 5th Drive,0.0,56520.0,Saab,95,2000.0,-0.5000000000000004,0.8660254037844384,0
13,121.0,34.0,OH,100/300,1000.0,936.61,0.0,464652,FEMALE,MD,armed-forces,wife,SC,Springfield,6582 Elm Lane,1.0,7280.0,Toyota,Highlander,2010.0,-0.8660254037844386,0.5000000000000001,0
14,180.0,38.0,OH,250/500,2000.0,1301.13,0.0,476685,FEMALE,College,machine-op-inspct,not-in-family,SC,Springfield,6851 3rd Drive,2.0,46200.0,Dodge,Neon,2003.0,-2.4492935982947064e-16,1.0,0
15,473.0,58.0,IN,100/300,2000.0,1131.4,0.0,458733,FEMALE,MD,transport-moving,other-relative,WV,Hillsdale,9573 Weaver Ave,0.0,63120.0,Accura,MDX,1999.0,-0.8660254037844386,0.5000000000000001,0
16,70.0,26.0,OH,500/1000,1000.0,1199.44,5000000.0,619884,MALE,College,machine-op-inspct,own-child,NY,Riverwood,5074 3rd St,2.0,52110.0,Nissan,Maxima,2012.0,1.2246467991473532e-16,-1.0,0
17,140.0,31.0,IN,500/1000,500.0,708.64,6000000.0,470610,MALE,High School,machine-op-inspct,unmarried,WV,Northbend,4546 Tree St,2.0,77880.0,Suburu,Legacy,2015.0,-0.5000000000000004,0.8660254037844384,1
18,160.0,37.0,OH,500/1000,500.0,1374.22,0.0,472135,FEMALE,MD,craft-repair,other-relative,NY,Northbrook,3842 Solo Ridge,0.0,72930.0,Accura,TL,2015.0,-2.4492935982947064e-16,1.0,1
19,196.0,39.0,IN,500/1000,2000.0,1475.73,0.0,477670,FEMALE,High School,handlers-cleaners,own-child,VA,Columbus,8101 3rd Ridge,0.0,60400.0,Nissan,Pathfinder,2014.0,-0.8660254037844385,-0.5000000000000004,0
20,460.0,62.0,IN,250/500,1000.0,1187.96,4000000.0,618845,MALE,JD,other-service,own-child,NY,Columbus,5380 Pine St,0.0,47160.0,Suburu,Impreza,2011.0,1.2246467991473532e-16,-1.0,0
21,217.0,41.0,IL,500/1000,2000.0,875.15,0.0,442479,FEMALE,Associate,machine-op-inspct,own-child,SC,Arlington,8957 Weaver Drive,2.0,37840.0,Accura,RSX,1996.0,-0.5000000000000004,0.8660254037844384,0
22,370.0,55.0,IL,100/300,2000.0,972.18,0.0,443920,MALE,High School,prof-specialty,other-relative,SC,Hillsdale,2526 Embaracadero Ave,0.0,71520.0,Suburu,Forrestor,2000.0,0.49999999999999994,-0.8660254037844387,1
23,413.0,55.0,IN,100/300,2000.0,1268.79,0.0,453148,MALE,MD,priv-house-serv,own-child,WV,Northbend,5667 4th Drive,2.0,98160.0,Dodge,RAM,2011.0,0.8660254037844386,0.5000000000000001,1
24,237.0,40.0,IN,100/300,1000.0,883.31,0.0,434733,MALE,College,craft-repair,husband,VA,Riverwood,2502 Apache Hwy,3.0,77880.0,Ford,Escape,2005.0,0.8660254037844386,0.5000000000000001,1
25,8.0,35.0,OH,100/300,2000.0,1266.92,0.0,613982,MALE,Masters,sales,own-child,OH,Arlington,3418 Texas Lane,3.0,71500.0,Ford,Escape,2006.0,-2.4492935982947064e-16,1.0,1
26,257.0,43.0,IN,100/300,2000.0,1322.1,0.0,436984,MALE,High School,prof-specialty,own-child,PA,Arlington,2533 Elm St,3.0,9020.0,Toyota,Camry,2005.0,-1.0,-1.8369701987210297e-16,0
27,202.0,34.0,IN,100/300,500.0,848.07,3000000.0,607730,MALE,JD,exec-managerial,not-in-family,VA,Northbrook,3790 Andromedia Hwy,1.0,5720.0,Suburu,Forrestor,2003.0,-0.4999999999999997,-0.8660254037844388,0
28,224.0,40.0,OH,100/300,2000.0,1291.7,0.0,609837,FEMALE,JD,sales,not-in-family,SC,Northbend,3220 Rock Drive,0.0,69840.0,Dodge,Neon,2009.0,0.8660254037844386,0.5000000000000001,0
29,241.0,45.0,IL,500/1000,2000.0,1104.5,0.0,432211,FEMALE,PhD,machine-op-inspct,unmarried,SC,Northbrook,2100 Francis Drive,2.0,91650.0,Accura,TL,2011.0,1.0,6.123233995736766e-17,1
30,64.0,25.0,IL,250/500,1000.0,954.16,0.0,473328,MALE,Masters,prof-specialty,husband,SC,Columbus,4687 5th Drive,0.0,75600.0,Toyota,Corolla,2005.0,0.8660254037844386,0.5000000000000001,1
31,166.0,37.0,IL,100/300,2000.0,1337.28,8000000.0,610393,MALE,JD,craft-repair,husband,WV,Riverwood,9038 2nd Lane,2.0,67140.0,Ford,F150,2006.0,1.2246467991473532e-16,-1.0,0
32,155.0,35.0,IL,500/1000,1000.0,1088.34,0.0,614780,FEMALE,Associate,adm-clerical,other-relative,NY,Arlington,6092 5th Ave,3.0,29790.0,BMW,3 Series,2008.0,-0.8660254037844385,-0.5000000000000004,0
33,114.0,30.0,IL,100/300,1000.0,1558.29,0.0,472248,MALE,High School,farming-fishing,wife,NY,Hillsdale,8353 Britain Ridge,2.0,77110.0,Suburu,Impreza,2015.0,0.8660254037844387,-0.4999999999999998,1
34,149.0,37.0,IL,500/1000,500.0,1415.68,0.0,603381,MALE,PhD,prof-specialty,own-child,WV,Hillsdale,3540 Maple St,1.0,64800.0,Audi,A3,1999.0,0.49999999999999994,0.8660254037844387,0
35,147.0,33.0,OH,100/300,1000.0,1334.15,6000000.0,479224,MALE,High School,craft-repair,not-in-family,WV,Springfield,3104 Sky Drive,0.0,53100.0,Mercedes,C300,1995.0,-0.8660254037844385,-0.5000000000000004,0
36,62.0,28.0,IL,100/300,1000.0,988.45,0.0,430141,FEMALE,Masters,protective-serv,unmarried,NY,Northbrook,4981 Weaver St,1.0,60200.0,Suburu,Forrestor,2004.0,1.0,6.123233995736766e-17,0
37,289.0,49.0,IL,500/1000,2000.0,1222.48,0.0,620757,FEMALE,JD,priv-house-serv,unmarried,WV,Arlington,6676 Tree Lane,1.0,5330.0,Suburu,Legacy,2001.0,0.8660254037844386,0.5000000000000001,0
38,431.0,54.0,IN,500/1000,2000.0,1155.55,0.0,615901,FEMALE,MD,craft-repair,unmarried,NY,Hillsdale,3930 Embaracadero St,0.0,62300.0,Jeep,Wrangler,2007.0,-0.5000000000000004,0.8660254037844384,0
39,199.0,37.0,IN,250/500,500.0,1262.08,0.0,474615,MALE,JD,tech-support,wife,NC,Columbus,3422 Flute St,3.0,60170.0,Nissan,Pathfinder,2011.0,-0.4999999999999997,-0.8660254037844388,0
40,79.0,26.0,IL,100/300,500.0,1451.62,0.0,456446,MALE,Associate,tech-support,not-in-family,WV,Columbus,4862 Lincoln Hwy,2.0,40000.0,BMW,M5,2010.0,0.49999999999999994,-0.8660254037844387,0
41,116.0,34.0,IN,250/500,500.0,1737.66,0.0,470577,MALE,Associate,transport-moving,unmarried,WV,Northbrook,5719 2nd Lane,1.0,97080.0,BMW,X5,2001.0,-0.8660254037844385,-0.5000000000000004,1
42,37.0,23.0,IL,500/1000,500.0,1475.93,0.0,441648,FEMALE,College,prof-specialty,husband,SC,Springfield,3221 Solo Ridge,0.0,51660.0,Dodge,RAM,2010.0,0.8660254037844387,-0.4999999999999998,0
43,106.0,30.0,OH,250/500,500.0,538.17,0.0,433782,FEMALE,PhD,transport-moving,own-child,NC,Arlington,6660 MLK Drive,2.0,51120.0,Mercedes,E400,2005.0,0.8660254037844387,-0.4999999999999998,0
44,269.0,44.0,IL,100/300,2000.0,1081.08,0.0,468104,MALE,JD,priv-house-serv,unmarried,SC,Springfield,1699 Oak Drive,2.0,56400.0,Toyota,Highlander,2014.0,-2.4492935982947064e-16,1.0,0
45,265.0,40.0,IL,250/500,1000.0,1454.43,0.0,459407,FEMALE,MD,protective-serv,husband,NY,Arlington,4234 Cherokee Lane,3.0,55120.0,Accura,MDX,2002.0,-0.8660254037844385,-0.5000000000000004,0
46,163.0,33.0,IN,100/300,500.0,1240.47,0.0,472573,FEMALE,Associate,other-service,husband,NC,Northbend,7476 4th St,1.0,77110.0,Honda,Civic,2014.0,0.49999999999999994,0.8660254037844387,1
47,355.0,47.0,OH,500/1000,2000.0,1273.7,4000000.0,433473,MALE,College,other-service,husband,WV,Arlington,8907 Tree Ave,1.0,62800.0,Audi,A3,2003.0,1.0,6.123233995736766e-17,0
48,175.0,34.0,IN,500/1000,1000.0,1123.87,8000000.0,446326,FEMALE,PhD,protective-serv,other-relative,NY,Arlington,6619 Flute Ave,0.0,7290.0,Volkswagen,Passat,1995.0,0.49999999999999994,0.8660254037844387,0
49,192.0,35.0,IL,100/300,1000.0,1245.89,0.0,435481,FEMALE,Masters,exec-managerial,wife,WV,Springfield,6011 Britain St,0.0,76600.0,Mercedes,C300,2000.0,1.0,6.123233995736766e-17,1
50,430.0,59.0,OH,250/500,2000.0,1326.62,7000000.0,477310,MALE,MD,other-service,own-child,NY,Riverwood,5104 Francis Drive,3.0,81800.0,Nissan,Pathfinder,1998.0,0.49999999999999994,0.8660254037844387,1
51,91.0,27.0,IL,100/300,2000.0,1073.83,0.0,609930,FEMALE,JD,farming-fishing,husband,NY,Arlington,2280 4th Ave,2.0,7260.0,BMW,M5,2008.0,-0.8660254037844385,-0.5000000000000004,0
52,217.0,39.0,IN,100/300,1000.0,1530.52,0.0,603993,MALE,College,armed-forces,not-in-family,WV,Northbend,2644 Elm Drive,1.0,4300.0,Toyota,Corolla,2000.0,1.2246467991473532e-16,-1.0,0
53,223.0,40.0,IN,100/300,500.0,1201.41,0.0,437818,FEMALE,JD,priv-house-serv,husband,NC,Columbus,7466 MLK Ridge,0.0,70510.0,Suburu,Forrestor,1999.0,0.8660254037844387,-0.4999999999999998,0
54,195.0,39.0,OH,250/500,1000.0,1393.57,0.0,478423,MALE,PhD,machine-op-inspct,not-in-family,VA,Northbend,5821 2nd St,1.0,2640.0,Ford,F150,2009.0,-0.8660254037844385,-0.5000000000000004,0
55,22.0,26.0,OH,100/300,1000.0,1276.57,0.0,467784,MALE,PhD,craft-repair,not-in-family,NY,Arlington,6723 Best Drive,2.0,78900.0,Chevrolet,Silverado,1995.0,-0.8660254037844385,-0.5000000000000004,1
56,439.0,56.0,IN,250/500,500.0,1082.49,0.0,606714,FEMALE,PhD,prof-specialty,unmarried,SC,Columbus,4866 4th Hwy,3.0,56430.0,Honda,CRV,2014.0,-0.5000000000000004,0.8660254037844384,0
57,94.0,32.0,IN,500/1000,1000.0,1414.74,0.0,464691,FEMALE,Masters,adm-clerical,own-child,VA,Riverwood,5418 Britain Ave,3.0,2400.0,Chevrolet,Silverado,2014.0,-0.8660254037844386,0.5000000000000001,0
58,11.0,39.0,IL,250/500,2000.0,1470.06,0.0,431683,MALE,PhD,other-service,husband,WV,Riverwood,4296 Pine Hwy,1.0,65790.0,Saab,93,2007.0,0.49999999999999994,-0.8660254037844387,0
59,151.0,36.0,OH,250/500,2000.0,870.63,0.0,431725,FEMALE,MD,adm-clerical,own-child,VA,Hillsdale,2299 1st St,1.0,62920.0,Ford,Escape,2000.0,0.8660254037844386,0.5000000000000001,0
60,154.0,34.0,IN,100/300,500.0,795.23,0.0,609216,MALE,PhD,machine-op-inspct,other-relative,NY,Springfield,6618 Cherokee Drive,1.0,69480.0,Nissan,Maxima,2014.0,0.8660254037844386,0.5000000000000001,0
61,245.0,44.0,IL,500/1000,1000.0,1168.2,0.0,452787,MALE,JD,handlers-cleaners,husband,OH,Springfield,7459 Flute St,3.0,44280.0,Honda,Accord,1997.0,-1.0,-1.8369701987210297e-16,0
62,119.0,32.0,IL,500/1000,1000.0,993.51,0.0,468767,MALE,High School,armed-forces,unmarried,WV,Hillsdale,3567 4th Drive,3.0,56300.0,BMW,M5,2011.0,1.2246467991473532e-16,-1.0,0
63,215.0,42.0,OH,500/1000,500.0,1848.81,0.0,435489,MALE,JD,transport-moving,own-child,WV,Northbend,2457 Washington Ave,2.0,68520.0,Suburu,Legacy,2003.0,-0.8660254037844386,0.5000000000000001,0
64,295.0,42.0,OH,250/500,2000.0,1641.73,5000000.0,450149,MALE,PhD,sales,not-in-family,VA,Riverwood,1269 Flute Drive,0.0,59130.0,Ford,Escape,2006.0,0.8660254037844387,-0.4999999999999998,0
65,254.0,39.0,IN,100/300,500.0,1362.87,0.0,458364,FEMALE,MD,exec-managerial,other-relative,NY,Arlington,1218 Sky Hwy,2.0,82320.0,Dodge,Neon,1995.0,-2.4492935982947064e-16,1.0,1
66,107.0,31.0,IN,250/500,500.0,1239.22,7000000.0,476458,FEMALE,High School,tech-support,not-in-family,SC,Springfield,9169 Pine Ridge,1.0,89700.0,Audi,A5,2009.0,-0.8660254037844385,-0.5000000000000004,1
67,478.0,64.0,OH,250/500,500.0,835.02,0.0,602433,FEMALE,Associate,adm-clerical,unmarried,WV,Hillsdale,8538 Texas Lane,1.0,33930.0,BMW,X6,1998.0,-0.8660254037844385,-0.5000000000000004,0
68,128.0,30.0,OH,100/300,1000.0,1061.33,0.0,478575,MALE,MD,machine-op-inspct,own-child,WV,Northbrook,5783 Oak Ave,3.0,68530.0,Audi,A5,1997.0,0.8660254037844386,0.5000000000000001,0
69,338.0,49.0,IN,500/1000,1000.0,1279.08,0.0,449718,MALE,MD,other-service,own-child,NC,Riverwood,7721 Washington Ridge,1.0,4300.0,Ford,F150,2004.0,0.8660254037844386,0.5000000000000001,0
70,271.0,42.0,OH,100/300,500.0,1105.49,0.0,463181,FEMALE,Associate,prof-specialty,own-child,SC,Hillsdale,8006 Maple Hwy,3.0,68310.0,Audi,A3,2003.0,-0.8660254037844385,-0.5000000000000004,0
71,222.0,41.0,OH,100/300,2000.0,1055.53,0.0,441992,FEMALE,MD,armed-forces,not-in-family,WV,Northbrook,6751 Pine Ridge,2.0,61290.0,Honda,Civic,1995.0,-0.5000000000000004,0.8660254037844384,0
72,199.0,41.0,OH,250/500,1000.0,895.83,0.0,452597,FEMALE,Associate,sales,husband,NC,Arlington,2324 Texas Ridge,2.0,30100.0,Chevrolet,Malibu,1999.0,-2.4492935982947064e-16,1.0,0
73,215.0,37.0,IN,100/300,500.0,1632.93,0.0,614417,FEMALE,College,transport-moving,not-in-family,SC,Riverwood,7923 Elm Ave,0.0,57120.0,Mercedes,C300,2002.0,-2.4492935982947064e-16,1.0,0
74,192.0,40.0,IL,100/300,1000.0,1405.99,0.0,472895,FEMALE,Associate,sales,wife,VA,Springfield,4755 Best Lane,0.0,42930.0,BMW,X6,2005.0,0.8660254037844387,-0.4999999999999998,0
75,120.0,35.0,OH,100/300,1000.0,1425.54,0.0,475847,FEMALE,High School,transport-moving,other-relative,SC,Riverwood,5053 Tree Drive,0.0,51210.0,Ford,Fusion,2010.0,0.8660254037844386,0.5000000000000001,0
76,270.0,45.0,OH,500/1000,1000.0,1038.09,0.0,476978,FEMALE,College,handlers-cleaners,husband,NY,Springfield,2078 3rd Ave,1.0,89400.0,Suburu,Legacy,1998.0,0.49999999999999994,0.8660254037844387,1
77,319.0,47.0,IN,250/500,500.0,1307.11,0.0,600648,MALE,College,transport-moving,not-in-family,WV,Northbrook,2804 Best St,2.0,59730.0,Audi,A3,2005.0,0.8660254037844387,-0.4999999999999998,0
78,194.0,39.0,OH,500/1000,1000.0,1489.24,6000000.0,608335,FEMALE,JD,other-service,wife,SC,Springfield,7877 Sky Lane,2.0,8060.0,Saab,95,2004.0,0.49999999999999994,-0.8660254037844387,0
79,227.0,38.0,OH,500/1000,500.0,976.67,0.0,471600,FEMALE,PhD,handlers-cleaners,unmarried,SC,Northbrook,6530 Weaver Ave,2.0,72200.0,BMW,M5,2013.0,-0.8660254037844386,0.5000000000000001,1
80,137.0,31.0,OH,250/500,2000.0,1340.43,0.0,441175,MALE,High School,exec-managerial,husband,NC,Arlington,3087 Oak Hwy,2.0,50800.0,Accura,MDX,2005.0,-0.8660254037844386,0.5000000000000001,0
81,244.0,40.0,OH,500/1000,2000.0,1267.81,5000000.0,603123,FEMALE,Masters,exec-managerial,wife,NC,Northbrook,7098 Lincoln Hwy,1.0,6600.0,Accura,TL,2005.0,-0.4999999999999997,-0.8660254037844388,0
82,78.0,29.0,IL,250/500,1000.0,1234.2,6000000.0,457767,MALE,Masters,other-service,other-relative,NY,Northbrook,5124 Maple St,2.0,7500.0,Nissan,Maxima,2002.0,0.8660254037844386,0.5000000000000001,0
83,200.0,35.0,IN,250/500,2000.0,1318.06,0.0,618498,MALE,High School,exec-managerial,wife,VA,Hillsdale,2333 Maple Lane,3.0,6490.0,Volkswagen,Jetta,2002.0,-0.8660254037844385,-0.5000000000000004,0
84,284.0,48.0,IN,500/1000,2000.0,769.95,0.0,605486,MALE,Masters,prof-specialty,not-in-family,NY,Hillsdale,1012 5th Lane,3.0,60940.0,Audi,A3,2013.0,0.49999999999999994,-0.8660254037844387,0
85,275.0,41.0,OH,100/300,2000.0,1514.72,0.0,617970,MALE,High School,transport-moving,own-child,NY,Northbrook,7477 MLK Drive,1.0,58300.0,Suburu,Legacy,2007.0,-0.8660254037844386,0.5000000000000001,0
86,153.0,34.0,IL,500/1000,1000.0,873.64,4000000.0,432934,FEMALE,Associate,priv-house-serv,husband,SC,Columbus,9489 3rd St,1.0,68400.0,Ford,F150,2007.0,1.0,6.123233995736766e-17,0
87,134.0,32.0,IL,500/1000,500.0,1612.43,0.0,456762,FEMALE,MD,other-service,own-child,VA,Springfield,2087 Apache Ave,1.0,64240.0,BMW,3 Series,2015.0,0.49999999999999994,0.8660254037844387,0
88,31.0,36.0,IL,500/1000,2000.0,1318.24,9000000.0,601748,FEMALE,College,prof-specialty,not-in-family,WV,Arlington,5540 Sky St,1.0,4700.0,Dodge,Neon,2002.0,-0.8660254037844385,-0.5000000000000004,0
89,41.0,25.0,IN,100/300,1000.0,1226.83,0.0,607763,FEMALE,College,exec-managerial,not-in-family,SC,Columbus,7238 2nd St,0.0,45120.0,Accura,MDX,2011.0,0.49999999999999994,0.8660254037844387,0
90,127.0,29.0,OH,250/500,2000.0,1326.44,5000000.0,436973,FEMALE,High School,sales,own-child,SC,Arlington,8442 Britain Hwy,1.0,66950.0,Saab,93,1995.0,-2.4492935982947064e-16,1.0,0
91,61.0,23.0,IL,250/500,2000.0,1136.83,4000000.0,471300,FEMALE,Associate,tech-support,own-child,NY,Columbus,1331 Britain Hwy,3.0,98340.0,Honda,Accord,2004.0,1.2246467991473532e-16,-1.0,1
92,207.0,42.0,IL,250/500,2000.0,1322.78,0.0,453277,MALE,PhD,farming-fishing,own-child,WV,Springfield,5260 Francis Drive,1.0,5900.0,BMW,X5,2007.0,-0.8660254037844386,0.5000000000000001,0
93,219.0,43.0,IN,100/300,1000.0,1483.25,0.0,465100,FEMALE,MD,exec-managerial,not-in-family,NC,Riverwood,1135 Solo Lane,1.0,70680.0,Ford,Fusion,2009.0,-2.4492935982947064e-16,1.0,1
94,271.0,42.0,IL,100/300,500.0,1515.3,0.0,603248,FEMALE,High School,machine-op-inspct,not-in-family,SC,Northbend,9737 Solo Hwy,0.0,93720.0,Mercedes,ML350,2005.0,1.0,6.123233995736766e-17,1
95,80.0,25.0,IL,100/300,2000.0,1075.18,5000000.0,601112,FEMALE,PhD,armed-forces,husband,OH,Northbrook,3289 Britain Drive,0.0,6930.0,Toyota,Highlander,2001.0,1.0,6.123233995736766e-17,0
96,325.0,47.0,IN,500/1000,1000.0,1690.27,0.0,438830,FEMALE,Associate,protective-serv,not-in-family,VA,Springfield,6550 Andromedia St,3.0,72930.0,Dodge,RAM,2006.0,0.8660254037844386,0.5000000000000001,1
97,29.0,25.0,IL,250/500,2000.0,1352.83,0.0,464959,MALE,Masters,farming-fishing,own-child,SC,Hillsdale,1679 2nd Hwy,2.0,64890.0,Nissan,Pathfinder,2013.0,-0.5000000000000004,0.8660254037844384,0
98,295.0,48.0,OH,250/500,1000.0,1148.73,0.0,439787,FEMALE,College,machine-op-inspct,wife,WV,Columbus,3998 Flute St,2.0,5400.0,Saab,95,1999.0,1.2246467991473532e-16,-1.0,0
99,239.0,42.0,IL,100/300,1000.0,969.5,0.0,464839,MALE,College,exec-managerial,not-in-family,NC,Northbrook,2430 MLK Ave,0.0,5600.0,Audi,A3,2007.0,-1.0,-1.8369701987210297e-16,0
100,269.0,41.0,IN,100/300,500.0,1463.82,0.0,448984,FEMALE,College,protective-serv,not-in-family,SC,Northbend,7717 Britain Hwy,0.0,79300.0,Saab,92x,2007.0,-0.8660254037844386,0.5000000000000001,1
101,80.0,27.0,IL,100/300,1000.0,1474.17,0.0,440327,FEMALE,College,tech-support,unmarried,WV,Northbend,7773 Tree Hwy,0.0,52800.0,Saab,95,2004.0,-0.8660254037844385,-0.5000000000000004,0
102,279.0,41.0,IL,250/500,500.0,1497.35,0.0,460742,FEMALE,JD,prof-specialty,husband,NC,Northbrook,2199 Texas Drive,3.0,28800.0,Ford,Fusion,2013.0,1.2246467991473532e-16,-1.0,0
103,165.0,33.0,OH,100/300,1000.0,1427.14,0.0,446895,FEMALE,Associate,tech-support,other-relative,WV,Northbend,1028 Sky Lane,1.0,2970.0,Toyota,Highlander,2008.0,1.0,6.123233995736766e-17,0
104,350.0,54.0,OH,500/1000,500.0,1495.1,0.0,609374,MALE,College,other-service,wife,SC,Northbend,4154 Lincoln Hwy,0.0,93480.0,Chevrolet,Malibu,2014.0,-0.8660254037844386,0.5000000000000001,1
105,295.0,49.0,IL,100/300,500.0,1141.62,0.0,451672,MALE,College,prof-specialty,husband,WV,Columbus,8085 Andromedia St,3.0,4320.0,Mercedes,E400,2002.0,1.2246467991473532e-16,-1.0,0
106,464.0,61.0,OH,500/1000,1000.0,1125.37,0.0,604450,FEMALE,Associate,prof-specialty,husband,VA,Northbend,4793 4th Ridge,2.0,79800.0,Saab,95,2000.0,-0.8660254037844386,0.5000000000000001,1
107,118.0,28.0,IN,500/1000,2000.0,1207.36,0.0,432896,FEMALE,High School,handlers-cleaners,own-child,WV,Columbus,7428 Sky Hwy,0.0,74200.0,Volkswagen,Passat,1997.0,-2.4492935982947064e-16,1.0,1
108,298.0,47.0,IL,500/1000,2000.0,1338.5,0.0,618929,FEMALE,PhD,machine-op-inspct,other-relative,NY,Northbrook,2306 5th Lane,0.0,70590.0,Saab,93,2000.0,-0.5000000000000004,0.8660254037844384,0
109,87.0,31.0,IN,500/1000,1000.0,1074.07,0.0,451312,FEMALE,Masters,sales,husband,NY,Springfield,3052 Weaver Ridge,3.0,60940.0,Nissan,Ultima,2006.0,1.2246467991473532e-16,-1.0,0
110,261.0,42.0,OH,250/500,500.0,1337.56,0.0,605141,FEMALE,College,prof-specialty,unmarried,SC,Riverwood,5211 Weaver Drive,2.0,74700.0,Dodge,RAM,2010.0,0.49999999999999994,0.8660254037844387,1
111,453.0,60.0,IN,100/300,500.0,1298.91,6000000.0,459504,MALE,PhD,craft-repair,unmarried,NC,Springfield,7253 MLK St,0.0,70000.0,Ford,F150,2015.0,1.0,6.123233995736766e-17,0
112,210.0,41.0,IL,500/1000,500.0,1222.75,0.0,432781,MALE,High School,exec-managerial,other-relative,WV,Columbus,1454 5th Ridge,0.0,81070.0,BMW,X5,2001.0,-0.5000000000000004,0.8660254037844384,1
